"country","stat_name","estimate","se","ci_lo","ci_hi"
"AT_2011","baseline_3pct_gini_nw",0.762501926258024,0.0387327702334377,0.686585696600487,0.838418155915562
"AT_2011","baseline_3pct_gini_nwx",2.38779106189922,0.411749274480308,1.58076248391781,3.19481963988062
"AT_2011","baseline_3pct_gini_ratio",0.325623742090802,0.0578713749342217,0.212195847219728,0.439051636961877
"AT_2011","baseline_3pct_gini_ok",0,0,0,0
"AT_2011","baseline_3pct_gini_keptmin",1,0,1,1
"AT_2011","baseline_3pct_gini_naltmax",0,0,0,0
"AT_2011","baseline_3pct_gini_rsv_nw",0.751844237799968,0.035371895931664,0.682515321773907,0.82117315382603
"AT_2011","baseline_3pct_gini_rsv_nwx",0.86342969625,0.0227408200199264,0.818857689010944,0.908001703489056
"AT_2011","baseline_3pct_gini_rsv_ratio",0.870466019019351,0.0184576888777512,0.834288948818958,0.906643089219743
"AT_2011","baseline_3pct_gini_rsv_ok",1,0,1,1
"AT_2011","baseline_3pct_gini_rsv_keptmin",1,0,1,1
"AT_2011","baseline_3pct_gini_rsv_naltmax",0,0,0,0
"AT_2011","baseline_3pct_cv_nw",2.96268403500397,0.637854808179066,1.712488610973,4.21287945903494
"AT_2011","baseline_3pct_cv_nwx",9.24626599539715,1.70762250582287,5.89932588398432,12.59320610681
"AT_2011","baseline_3pct_cv_ratio",0.325828023103347,0.0765063283993102,0.175875619440699,0.475780426765995
"AT_2011","baseline_3pct_cv_ok",1,0,1,1
"AT_2011","baseline_3pct_cv_keptmin",1,0,1,1
"AT_2011","baseline_3pct_cv_naltmax",0,0,0,0
"AT_2011","baseline_3pct_top10_nw",0.613621987691234,0.0586821850717522,0.4986049049506,0.728639070431868
"AT_2011","baseline_3pct_top10_nwx",1.30668618811,0.170985339089394,0.971554923494789,1.64181745272522
"AT_2011","baseline_3pct_top10_ratio",0.473326234594997,0.0583315952595648,0.35899630788625,0.587656161303744
"AT_2011","baseline_3pct_top10_ok",0,0,0,0
"AT_2011","baseline_3pct_top10_keptmin",1,0,1,1
"AT_2011","baseline_3pct_top10_naltmax",0,0,0,0
"AT_2011","baseline_3pct_top1_nw",0.233770179584283,0.0684002368696299,0.0997057153198084,0.367834643848758
"AT_2011","baseline_3pct_top1_nwx",0.572309621279702,0.1330348279991,0.311561358401466,0.833057884157938
"AT_2011","baseline_3pct_top1_ratio",0.407066338082271,0.0531773453013163,0.302838741291691,0.511293934872851
"AT_2011","baseline_3pct_top1_ok",1,0,1,1
"AT_2011","baseline_3pct_top1_keptmin",1,0,1,1
"AT_2011","baseline_3pct_top1_naltmax",0,0,0,0
"AT_2011","baseline_3pct_sgini4_nw",0.960582278024934,0.0240819519467601,0.913381652209284,1.00778290384058
