"country","stat_name","estimate","se","ci_lo","ci_hi"
"AT_2011","gradient_gini_nw",0.762501926258024,0.0387327702334377,0.686585696600487,0.838418155915562
"AT_2011","gradient_gini_nwx",0.8763120579873,0.0515709745593078,0.775232947851056,0.977391168123543
"AT_2011","gradient_gini_ratio",0.870948880711141,0.0384303679159867,0.795625359595807,0.946272401826475
"AT_2011","gradient_gini_ok",1,0,1,1
"AT_2011","gradient_gini_keptmin",1,0,1,1
"AT_2011","gradient_gini_naltmax",0,0,0,0
"AT_2011","gradient_gini_rsv_nw",0.751844237799968,0.035371895931664,0.682515321773907,0.82117315382603
"AT_2011","gradient_gini_rsv_nwx",0.774708986815549,0.0360084162359493,0.704132490993088,0.845285482638009
"AT_2011","gradient_gini_rsv_ratio",0.970471924078768,0.00340162242218826,0.963804744131279,0.977139104026257
"AT_2011","gradient_gini_rsv_ok",1,0,1,1
"AT_2011","gradient_gini_rsv_keptmin",1,0,1,1
"AT_2011","gradient_gini_rsv_naltmax",0,0,0,0
"AT_2011","gradient_cv_nw",2.96268403500397,0.637854808179066,1.712488610973,4.21287945903494
"AT_2011","gradient_cv_nwx",3.7562299777535,0.684907269040487,2.41381173043415,5.09864822507286
"AT_2011","gradient_cv_ratio",0.787859238253499,0.0642479652600263,0.661933226343847,0.91378525016315
"AT_2011","gradient_cv_ok",1,0,1,1
"AT_2011","gradient_cv_keptmin",1,0,1,1
"AT_2011","gradient_cv_naltmax",0,0,0,0
"AT_2011","gradient_top10_nw",0.613621987691234,0.0586821850717522,0.4986049049506,0.728639070431868
"AT_2011","gradient_top10_nwx",0.663771197306885,0.067920812670126,0.530646404473438,0.796895990140332
"AT_2011","gradient_top10_ratio",0.924886017839523,0.0151525180077429,0.895187082544347,0.954584953134699
"AT_2011","gradient_top10_ok",1,0,1,1
"AT_2011","gradient_top10_keptmin",1,0,1,1
"AT_2011","gradient_top10_naltmax",0,0,0,0
"AT_2011","gradient_top1_nw",0.233770179584283,0.0684002368696299,0.0997057153198084,0.367834643848758
"AT_2011","gradient_top1_nwx",0.286324831193466,0.0739297436344412,0.141422533669961,0.431227128716971
"AT_2011","gradient_top1_ratio",0.812404268901052,0.0248503418886492,0.7636975987993,0.861110939002804
"AT_2011","gradient_top1_ok",1,0,1,1
"AT_2011","gradient_top1_keptmin",1,0,1,1
"AT_2011","gradient_top1_naltmax",0,0,0,0
"AT_2011","gradient_sgini4_nw",0.960582278024934,0.0240819519467601,0.913381652209284,1.00778290384058
"AT_2011","gradient_sgini4_nwx",1.1912946184711,0.0840640891625224,1.02652900371256,1.35606023322965
"AT_2011","gradient_sgini4_ratio",0.809110640712766,0.0616866268203101,0.688204852144959,0.930016429280574
"AT_2011","gradient_sgini4_ok",1,0,1,1
"AT_2011","gradient_sgini4_keptmin",1,0,1,1
"AT_2011","gradient_sgini4_naltmax",0,0,0,0
"AT_2011","gradient_gini_abs_nw",202822.209815921,44397.8175889578,115802.487341564,289841.932290278
"AT_2011","gradient_gini_abs_nwx",169402.93978311,39723.122427504,91545.6198252025,247260.259741018
"AT_2011","gradient_gini_abs_ratio",1.19976992658992,0.020570438099153,1.15945186791558,1.24008798526426
"AT_2011","gradient_gini_abs_ok",1,0,1,1
"AT_2011","gradient_gini_abs_keptmin",1,0,1,1
"AT_2011","gradient_gini_abs_naltmax",0,0,0,0
"AT_2011","gradient_variance_nw",712814007773.925,617989952810.588,-498446299734.827,1924074315282.68
"AT_2011","gradient_variance_nwx",588159210832.198,458022779974.895,-309565437918.597,1485883859582.99
"AT_2011","gradient_variance_ratio",1.17704905508362,0.105988440953496,0.969311710814763,1.38478639935247
"AT_2011","gradient_variance_ok",1,0,1,1
"AT_2011","gradient_variance_keptmin",1,0,1,1
"AT_2011","gradient_variance_naltmax",0,0,0,0
"AT_2011","gradient_kolm0.5_nw",0.10200007583447,0.0111392366718304,0.0801671719576825,0.123832979711258
"AT_2011","gradient_kolm0.5_nwx",0.685549735908566,1.43774673961039,-2.1324338737278,3.50353334554493
"AT_2011","gradient_kolm0.5_ratio",0.855957278382699,0.512289852292009,-0.14813083210964,1.86004538887504
"AT_2011","gradient_kolm0.5_ok",1,0,1,1
"AT_2011","gradient_kolm0.5_keptmin",1,0,1,1
"AT_2011","gradient_kolm0.5_naltmax",0,0,0,0
"AT_2011","gradient_kolm1_nw",0.140113405565763,0.0207902099370455,0.0993645940891537,0.180862217042372
"AT_2011","gradient_kolm1_nwx",2.28349364670355,4.94235117669497,-7.4035146596186,11.9705019530257
"AT_2011","gradient_kolm1_ratio",0.520559768480938,0.410346511737167,-0.283719394523909,1.32483893148578
"AT_2011","gradient_kolm1_ok",1,0,1,1
"AT_2011","gradient_kolm1_keptmin",1,0,1,1
"AT_2011","gradient_kolm1_naltmax",0,0,0,0
"AT_2011","gradient_p75_p25_nw",240111,3740.11224430498,232780.380001162,247441.619998838
"AT_2011","gradient_p75_p25_nwx",188126.312011719,4672.13505502454,178968.927303871,197283.696719567
"AT_2011","gradient_p75_p25_ratio",1.27659447138738,0.0203717116188332,1.23666591661446,1.31652302616029
"AT_2011","gradient_p75_p25_ok",1,0,1,1
"AT_2011","gradient_p75_p25_keptmin",1,0,1,1
"AT_2011","gradient_p75_p25_naltmax",0,0,0,0
"AT_2011","gradient_p90_p10_nw",539928,14302.014501461,511896.051577137,567959.948422863
"AT_2011","gradient_p90_p10_nwx",384255.955610963,13587.6411908774,357624.178876844,410887.732345083
"AT_2011","gradient_p90_p10_ratio",1.40560375189957,0.0309460069375089,1.34494957830205,1.46625792549709
"AT_2011","gradient_p90_p10_ok",1,0,1,1
"AT_2011","gradient_p90_p10_keptmin",1,0,1,1
"AT_2011","gradient_p90_p10_naltmax",0,0,0,0
"AT_2011","gradient_inter1_nw",0.264279296170392,0.212345326126679,-0.1519175430379,0.680476135378683
"AT_2011","gradient_inter1_nwx",0.00763110457968356,0.00438525796698824,-0.000964001035613385,0.0162262101949805
"AT_2011","gradient_inter1_ratio",100.190925183115,197.116529072979,-286.157471799923,486.539322166154
"AT_2011","gradient_inter1_ok",1,0,1,1
"AT_2011","gradient_inter1_keptmin",1,0,1,1
"AT_2011","gradient_inter1_naltmax",0,0,0,0
"AT_2011","gradient_inter2_nw",0.749643620047575,0.694984575108483,-0.612526147165051,2.1118133872602
"AT_2011","gradient_inter2_nwx",0.0104924918730767,0.00665542430118988,-0.0025521397572555,0.0235371235034088
