"schedule","measure","n_countries","n_paradox","countries_failing"
"baseline_3pct","atkinson05",10,9,"FR_2009"
"mild","atkinson05",10,7,"FR_2009 IT_2014 ES_2011"
"gradient","atkinson05",10,6,"FR_2009 IT_2014 LU_2010 ES_2011"
"steep","atkinson05",10,5,"AT_2011 FR_2009 GR_2009 IT_2014 ES_2011"
"very_steep","atkinson05",10,4,"AT_2011 FR_2009 GR_2009 IT_2014 SK_2010 ES_2011"
"baseline_3pct","atkinson1",10,9,"FR_2009"
"mild","atkinson1",10,6,"FR_2009 IT_2014 LU_2010 ES_2011"
"gradient","atkinson1",10,4,"AT_2011 FR_2009 IT_2014 LU_2010 ES_2011 US_2013"
"steep","atkinson1",10,1,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 ES_2011 US_2013"
"very_steep","atkinson1",10,1,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 ES_2011 US_2013"
"baseline_3pct","atkinson2",10,5,"EE_2013 IT_2014 LU_2010 SK_2010 ES_2011"
"mild","atkinson2",10,0,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 SI_2014 ES_2011 US_2013"
"gradient","atkinson2",10,0,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 SI_2014 ES_2011 US_2013"
"steep","atkinson2",10,0,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 SI_2014 ES_2011 US_2013"
"very_steep","atkinson2",10,0,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 SI_2014 ES_2011 US_2013"
"baseline_3pct","cv",10,10,""
"mild","cv",10,9,"IT_2014"
"gradient","cv",10,9,"IT_2014"
"steep","cv",10,10,""
"very_steep","cv",10,10,""
"baseline_3pct","ge2",10,9,"IT_2014"
"mild","ge2",10,9,"IT_2014"
"gradient","ge2",10,8,"IT_2014 ES_2011"
"steep","ge2",10,7,"GR_2009 IT_2014 ES_2011"
"very_steep","ge2",10,7,"GR_2009 IT_2014 ES_2011"
"baseline_3pct","ge_mld",10,9,"FR_2009"
"mild","ge_mld",10,6,"FR_2009 IT_2014 LU_2010 ES_2011"
"gradient","ge_mld",10,4,"AT_2011 FR_2009 IT_2014 LU_2010 ES_2011 US_2013"
"steep","ge_mld",10,1,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 ES_2011 US_2013"
"very_steep","ge_mld",10,1,"AT_2011 EE_2013 FR_2009 GR_2009 IT_2014 LU_2010 SK_2010 ES_2011 US_2013"
"baseline_3pct","ge_theil",10,10,""
"mild","ge_theil",10,7,"FR_2009 IT_2014 ES_2011"
"gradient","ge_theil",10,7,"FR_2009 IT_2014 ES_2011"
"steep","ge_theil",10,6,"FR_2009 GR_2009 IT_2014 ES_2011"
"very_steep","ge_theil",10,6,"FR_2009 GR_2009 IT_2014 ES_2011"
"baseline_3pct","gini",10,10,""
"mild","gini",10,10,""
"gradient","gini",10,10,""
"steep","gini",10,10,""
"very_steep","gini",10,10,""
