"country","n_waves","span","paradox_holds","cor_neg_holds","cv_ratio_min","cv_ratio_max","cor_first","cor_last","p2_first","p2_last"
"AT",5,"2010-2023","5/5","5/5",-0.0384435083161929,0.285085281579054,-0.633925054145939,-0.956336745233422,0.676418400565883,1.17113424371702
"BE",5,"2010-2023","5/5","5/5",0.25011548812638,0.744270899833007,-0.938047764918171,-0.34853833903898,0.282884006384963,0.234494351199215
"CY",5,"2010-2023","5/5","5/5",0.548590068025006,0.776054587410647,-0.479377658772741,-0.222438144267453,0.237158032111492,0.292550142465735
"DE",5,"2010-2023","5/5","5/5",0.0733060626076489,0.689556926864819,-0.262401353709487,-0.686963835198767,0.572481811349956,0.313820891443453
"E1",1,"2010-2010","1/1","1/1",0.711255246166551,0.711255246166551,-0.494655266457963,-0.494655266457963,0.203925677559998,0.203925677559998
"EE",4,"2014-2023","4/4","4/4",0.753666140439284,0.907627998935566,-0.349160269465503,-0.0651523061530871,0.198616800767108,0.097963298800339
"ES",5,"2010-2023","5/5","5/5",0.160635241082302,0.761652631796228,-0.577242471737876,-0.480077260321041,0.297133398873171,0.444448493572235
"FR",5,"2010-2023","5/5","5/5",0.0949231389152928,0.31378505052406,-0.942178444841425,-0.855818973440207,0.717314021774753,0.446411687127807
"GR",5,"2010-2023","5/5","5/5",0.382860548469739,0.659364395109174,-0.732139078988656,-0.681310473487131,0.360491579053454,0.507540786433092
"HR",3,"2017-2023","3/3","3/3",0.679796358682263,0.802811525420788,-0.204158445550682,-0.183636159311636,0.277207090597198,0.203273384173379
"HU",4,"2014-2023","4/4","4/4",0.558966264694886,0.88032565261362,-0.0980913025130528,-0.2360791491295,0.123817418813902,0.155511776853529
"LT",3,"2017-2023","3/3","3/3",0.792624024418339,0.919192229453596,-0.153744203044291,-0.101311256722541,0.0718129829196062,0.215730837625467
"LU",4,"2010-2023","4/4","4/4",0.569756382015981,0.764724912511476,-0.2928406411632,-0.536587193343836,0.204462624205285,0.33263022026386
"LV",4,"2014-2023","4/4","3/4",0.714092867863661,0.922939730441301,-0.416962245592101,-0.0688515112921876,0.224910641889122,0.078885558140915
"MT",5,"2010-2023","5/5","5/5",0.724977426760687,0.846144191906432,-0.222161764002757,-0.364405699287939,0.181003994607423,0.236055158756226
"NL",5,"2010-2023","5/5","5/5",0.596472586726951,0.992118101946529,-0.0286014469826814,-0.214074591909373,0.0425295142299014,0.087659787789123
"PL",2,"2014-2017","2/2","2/2",0.494324225123197,0.540039878902408,-0.640002731019896,-0.44654675420419,0.361369625130866,0.412728760729753
"PT",5,"2010-2023","5/5","5/5",0.605308939057758,0.827657333001922,-0.196137497642382,-0.321054252312631,0.164213232290049,0.230708626094801
"SI",5,"2010-2023","5/5","5/5",0.219298332881422,0.833816176455258,-0.769292214558019,-0.639088826305642,0.450938770596863,0.720297061830597
"SK",5,"2010-2023","5/5","5/5",0.537557008623742,0.751536400992198,-0.628865458084278,-0.405447225555453,0.314070296200989,0.291817996161729
