"country","verdict","n_intersections","min_diff","max_diff"
"AT_2023","Lorenz intersection (no dominance)",7,-0.00372439640453914,0.00161874471418455
"BE_2023","Lorenz intersection (no dominance)",1,-5.70322210641072e-05,0.0219504836907095
"CY_2023","Lorenz intersection (no dominance)",1,-0.000127676067787128,0.0132726685557587
"DE_2023","Lorenz intersection (no dominance)",1,-0.000112022263286747,0.0186842679316412
"EE_2023","Lorenz intersection (no dominance)",1,-4.86473852181069e-06,0.0101783798463723
"ES_2023","Lorenz intersection (no dominance)",1,-7.58650067050975e-05,0.0133653843693426
"FR_2023","Lorenz intersection (no dominance)",4,-0.000183717410174898,0.0178415068733947
"GR_2023","Lorenz intersection (no dominance)",1,-0.000216025649592,0.0150047999877532
"HR_2023","Lorenz intersection (no dominance)",1,-5.11246289888981e-07,0.0159431046532634
"HU_2023","Lorenz intersection (no dominance)",1,-3.00023915266762e-08,0.00953454756334415
"LT_2023","Lorenz intersection (no dominance)",1,-8.16874651419114e-07,0.0209601075139949
"LU_2023","Lorenz intersection (no dominance)",1,-0.000629238527054508,0.00902955079188972
"LV_2023","Lorenz intersection (no dominance)",1,-6.39457428958275e-06,0.0119074631374153
"MT_2023","Lorenz intersection (no dominance)",1,-0.000331633772262595,0.0185561106264157
"NL_2023","Lorenz intersection (no dominance)",3,-0.00308351285492414,0.00299419219938701
"PT_2023","Lorenz intersection (no dominance)",1,-6.87832873996866e-06,0.00391479386890757
"SI_2023","Lorenz intersection (no dominance)",1,-0.000137308156464829,0.00611040211863101
"SK_2023","Lorenz intersection (no dominance)",1,-3.20420843998624e-07,0.029352550656828
