"country","stat_name","estimate","se","ci_lo","ci_hi"
"AT_2023","baseline_3pct_gini_nw",0.699731497952375,0.0137564015535763,0.672768950907366,0.726694044997385
"AT_2023","baseline_3pct_gini_nwx",-21.7487473639472,261.016096856483,-533.340297202654,489.84280247476
"AT_2023","baseline_3pct_gini_ratio",-0.0904260671217235,0.120331006067203,-0.326274839013442,0.145422704769995
"AT_2023","baseline_3pct_gini_ok",0,0,0,0
"AT_2023","baseline_3pct_gini_keptmin",1,0,1,1
"AT_2023","baseline_3pct_gini_naltmax",0,0,0,0
"AT_2023","baseline_3pct_gini_rsv_nw",0.697077626160137,0.0139699879526983,0.669696449772849,0.724458802547426
"AT_2023","baseline_3pct_gini_rsv_nwx",0.872438598332993,0.0188924041918604,0.835409486116947,0.90946771054904
"AT_2023","baseline_3pct_gini_rsv_ratio",0.799094195386009,0.0229467758854898,0.754118514650449,0.844069876121569
"AT_2023","baseline_3pct_gini_rsv_ok",1,0,1,1
"AT_2023","baseline_3pct_gini_rsv_keptmin",1,0,1,1
"AT_2023","baseline_3pct_gini_rsv_naltmax",0,0,0,0
"AT_2023","baseline_3pct_cv_nw",2.37374299017505,0.615480709490144,1.16740079957437,3.58008518077573
"AT_2023","baseline_3pct_cv_nwx",-150.528499596731,1637.12558578902,-3359.29464774322,3058.23764854976
"AT_2023","baseline_3pct_cv_ratio",-0.0384435083161929,0.055446253352383,-0.147118164886864,0.0702311482544778
"AT_2023","baseline_3pct_cv_ok",0,0.448107130048162,-0.878289974894397,0.878289974894397
"AT_2023","baseline_3pct_cv_keptmin",1,0,1,1
"AT_2023","baseline_3pct_cv_naltmax",0,0,0,0
"AT_2023","baseline_3pct_top10_nw",0.514033503837544,0.0237055915709811,0.467570544358421,0.560496463316667
"AT_2023","baseline_3pct_top10_nwx",NA,NA,NA,NA
"AT_2023","baseline_3pct_top10_ratio",NA,NA,NA,NA
"AT_2023","baseline_3pct_top10_ok",0,0,0,0
"AT_2023","baseline_3pct_top10_keptmin",1,0,1,1
"AT_2023","baseline_3pct_top10_naltmax",0,0,0,0
"AT_2023","baseline_3pct_top1_nw",0.169728318286225,0.033660309269293,0.103754112118411,0.23570252445404
"AT_2023","baseline_3pct_top1_nwx",NA,NA,NA,NA
"AT_2023","baseline_3pct_top1_ratio",NA,NA,NA,NA
"AT_2023","baseline_3pct_top1_ok",0,0.175499287747842,-0.343978603985771,0.343978603985771
"AT_2023","baseline_3pct_top1_keptmin",1,0,1,1
"AT_2023","baseline_3pct_top1_naltmax",0,0,0,0
"AT_2023","baseline_3pct_sgini4_nw",0.923859137640505,0.00480054302956398,0.91445007330256,0.933268201978451
"AT_2023","baseline_3pct_sgini4_nwx",-47.7084155291888,567.921606234512,-1160.83476374883,1065.41793269045
"AT_2023","baseline_3pct_sgini4_ratio",-0.0515896646787474,0.0665671828089752,-0.182061342984339,0.078882013626844
