"schedule","measure","n_countries","n_paradox","countries_failing"
"baseline_3pct","atkinson05",18,17,"NL_2023"
"mild","atkinson05",18,12,"AT_2023 CY_2023 ES_2023 FR_2023 NL_2023 PT_2023"
"gradient","atkinson05",18,9,"AT_2023 BE_2023 CY_2023 ES_2023 FR_2023 LU_2023 MT_2023 NL_2023 PT_2023"
"steep","atkinson05",18,6,"AT_2023 BE_2023 CY_2023 EE_2023 ES_2023 FR_2023 HR_2023 HU_2023 LU_2023 MT_2023 NL_2023 PT_2023"
"very_steep","atkinson05",18,6,"AT_2023 BE_2023 CY_2023 EE_2023 ES_2023 FR_2023 HR_2023 HU_2023 LU_2023 MT_2023 NL_2023 PT_2023"
"baseline_3pct","atkinson1",18,15,"AT_2023 ES_2023 NL_2023"
"mild","atkinson1",18,7,"AT_2023 BE_2023 CY_2023 DE_2023 ES_2023 FR_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023"
"gradient","atkinson1",18,8,"AT_2023 BE_2023 CY_2023 DE_2023 ES_2023 FR_2023 LU_2023 LV_2023 NL_2023 PT_2023"
"steep","atkinson1",18,5,"AT_2023 BE_2023 CY_2023 DE_2023 EE_2023 ES_2023 FR_2023 HU_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023"
"very_steep","atkinson1",18,1,"AT_2023 BE_2023 CY_2023 DE_2023 EE_2023 ES_2023 FR_2023 GR_2023 HR_2023 HU_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023 SI_2023 SK_2023"
"baseline_3pct","atkinson2",18,7,"AT_2023 BE_2023 DE_2023 EE_2023 ES_2023 FR_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023"
"mild","atkinson2",18,1,"AT_2023 BE_2023 CY_2023 DE_2023 EE_2023 ES_2023 FR_2023 GR_2023 HR_2023 HU_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023 SI_2023 SK_2023"
"gradient","atkinson2",18,1,"AT_2023 BE_2023 CY_2023 DE_2023 EE_2023 ES_2023 FR_2023 GR_2023 HR_2023 HU_2023 LT_2023 LU_2023 LV_2023 NL_2023 PT_2023 SI_2023 SK_2023"
"steep","atkinson2",18,1,"AT_2023 BE_2023 CY_2023 DE_2023 EE_2023 ES_2023 FR_2023 GR_2023 HR_2023 LT_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023 SI_2023 SK_2023"
"very_steep","atkinson2",18,0,"AT_2023 BE_2023 CY_2023 DE_2023 EE_2023 ES_2023 FR_2023 GR_2023 HR_2023 HU_2023 LT_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023 SI_2023 SK_2023"
"baseline_3pct","cv",18,18,""
"mild","cv",18,18,""
"gradient","cv",18,18,""
"steep","cv",18,17,"EE_2023"
"very_steep","cv",18,18,""
"baseline_3pct","ge2",18,17,"NL_2023"
"mild","ge2",18,16,"CY_2023 NL_2023"
"gradient","ge2",18,14,"CY_2023 EE_2023 NL_2023 PT_2023"
"steep","ge2",18,14,"CY_2023 EE_2023 NL_2023 PT_2023"
"very_steep","ge2",18,14,"CY_2023 EE_2023 NL_2023 PT_2023"
"baseline_3pct","ge_mld",18,15,"AT_2023 ES_2023 NL_2023"
"mild","ge_mld",18,7,"AT_2023 BE_2023 CY_2023 DE_2023 ES_2023 FR_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023"
"gradient","ge_mld",18,8,"AT_2023 BE_2023 CY_2023 DE_2023 ES_2023 FR_2023 LU_2023 LV_2023 NL_2023 PT_2023"
"steep","ge_mld",18,5,"AT_2023 BE_2023 CY_2023 DE_2023 EE_2023 ES_2023 FR_2023 HU_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023"
"very_steep","ge_mld",18,1,"AT_2023 BE_2023 CY_2023 DE_2023 EE_2023 ES_2023 FR_2023 GR_2023 HR_2023 HU_2023 LU_2023 LV_2023 MT_2023 NL_2023 PT_2023 SI_2023 SK_2023"
"baseline_3pct","ge_theil",18,17,"NL_2023"
"mild","ge_theil",18,13,"AT_2023 CY_2023 ES_2023 NL_2023 PT_2023"
"gradient","ge_theil",18,10,"AT_2023 CY_2023 ES_2023 FR_2023 LU_2023 MT_2023 NL_2023 PT_2023"
"steep","ge_theil",18,9,"AT_2023 CY_2023 EE_2023 ES_2023 FR_2023 LU_2023 MT_2023 NL_2023 PT_2023"
"very_steep","ge_theil",18,8,"AT_2023 CY_2023 EE_2023 FR_2023 HR_2023 HU_2023 LU_2023 MT_2023 NL_2023 PT_2023"
"baseline_3pct","gini",18,18,""
"mild","gini",18,18,""
"gradient","gini",18,18,""
"steep","gini",18,18,""
"very_steep","gini",18,18,""
