"country","n_hh","hh_millions","n_transfers","pct_dated","n_transfers_1822","flow_2018_2022_bn"
"AT",2833,4.07,1626,1,232,13.646
"BE",2047,5.13,1127,0.993,364,18.017
"CY",1256,0.36,556,0.98,80,0.549
"DE",3973,40.63,1261,1,467,74.898
"EE",2592,0.62,608,0.995,166,0.376
"ES",6384,19.11,5193,1,1322,55.552
"FR",11912,30.94,11588,0.962,2725,79.152
"GR",3599,4.28,1688,0.985,266,5.92
"HR",1446,1.42,460,1,87,1.327
"HU",6975,4.01,2683,0.937,749,2.813
"LT",1692,1.49,642,0.998,144,1.087
"LU",3693,0.26,1339,1,426,2.129
"LV",1216,0.83,213,0.958,60,0.153
"MT",1023,0.22,763,1,178,0.736
"NL",2517,8.21,595,0.931,176,5.862
"PT",5460,4.46,2682,1,525,9.442
"SI",1983,0.86,1000,1,180,1.775
"SK",2127,1.73,1241,0.951,239,2.072
