"country","decile","min_n","mean_nwx","mean_wt","share_vol","share_recip"
"AT",1,249,-2612969.31827254,3265346.86427608,0.825867605171561,0.997445156570067
"AT",2,307,-67821.7445110924,197496.444728658,0.0502616092890684,0.812433738685271
"AT",3,356,1366.67168686126,4604.95857263545,0.00116652871327757,0.154504790663517
"AT",4,322,9495.52044664655,8462.70659777733,0.00217258016520704,0.119797560591246
"AT",5,335,22919.9856575398,15587.8752823853,0.00412756466468201,0.133291105711432
"AT",6,292,51317.0661763386,27361.083844182,0.00689081941269866,0.198174106420978
"AT",7,245,143097.405293935,89958.4035621041,0.0229906290686319,0.423340366088576
"AT",8,253,268744.387525215,61558.7243875998,0.0158084406101013,0.323320708274306
"AT",9,224,410115.632640593,87644.7658587367,0.0222906141914445,0.442114299237293
"AT",10,210,1209482.31997388,190994.555077332,0.0484236087133277,0.471249413801809
"BE",1,212,-245917.744819082,472458.476036289,0.492811492124814,0.811900290850881
"BE",2,161,3329.42848097404,3098.02209547552,0.00319704705476171,0.093450844109971
"BE",3,171,20228.2739382016,19159.1650231364,0.0198821081978062,0.176369396220703
"BE",4,150,78665.9356097773,49775.7992396593,0.0515938662122611,0.257555079815524
"BE",5,159,156177.508970894,38107.4204882026,0.039250996959248,0.338671635023072
"BE",6,168,230953.477922839,57883.9696555835,0.0602100129877271,0.342506845287954
"BE",7,206,306127.143584189,48538.9763908563,0.0500865929101807,0.307836906125121
"BE",8,232,420886.150878612,85079.4053568325,0.0884189565717225,0.382296272195257
"BE",9,264,617204.508260679,99658.7557609775,0.102899165107818,0.423715343507709
"BE",10,280,1570882.30028848,88676.8623967911,0.0916497618736606,0.382622524765506
"CY",1,112,-346682.971830093,561981.922414333,0.495461440777351,0.895267961790744
"CY",2,93,-12028.4317764269,92295.3136319344,0.0810247029500106,0.300697424586264
"CY",3,95,7530.87165004931,24768.5000990611,0.021846258507855,0.0936936385499895
"CY",4,121,54249.0742796991,50532.1120129891,0.0442812463320852,0.300187480101806
"CY",5,107,133713.509254905,63394.403613352,0.0557163355431963,0.221039450006259
"CY",6,110,200221.856675847,45188.8192932151,0.0393865055706139,0.255169249734922
"CY",7,127,287363.486798732,37700.817828444,0.0329476665491998,0.198212655830115
"CY",8,125,392311.793299263,62936.2626041903,0.0549267060293493,0.253114739930563
"CY",9,139,591970.371213562,61323.8111093825,0.0537038580210767,0.324365503509874
"CY",10,173,1468797.35810107,138846.739356473,0.120705279719262,0.303483959778718
"DE",1,330,-486009.887125718,708573.075935638,0.695465542150995,0.681985754227815
"DE",2,217,97.2366845794175,4422.99934841363,0.00434395484389529,0.0891612247216683
"DE",3,232,5885.79558619819,2967.72943562712,0.00295462782916774,0.104671362993752
"DE",4,256,16268.3072146749,13389.7783968812,0.0128880435397846,0.132686939560579
"DE",5,307,41181.8063203287,33259.6814272779,0.0324882971198962,0.185846234623174
"DE",6,314,96096.4622977463,33104.8655721879,0.032403428070447,0.237101141633616
"DE",7,342,184316.888252481,51552.5135034881,0.0502596357599122,0.286568189085199
"DE",8,441,318616.137373843,46444.201333325,0.0454777071037404,0.227900562210001
"DE",9,558,507456.821464393,46672.4975257193,0.0456127421340773,0.196391473246649
"DE",10,910,1560758.05584952,80076.0085052875,0.0781060214480843,0.263726770373164
"EE",1,222,-63216.099212454,115546.091791757,0.562294669221669,0.391188332150642
"EE",2,209,7942.42799480691,6190.53088754973,0.0300607860727896,0.106348283546099
"EE",3,228,25663.4890706562,7816.07013311103,0.0379113911703146,0.117073498559813
"EE",4,239,50162.5179479464,9243.13826217435,0.0448436530270999,0.151977157863756
"EE",5,235,76128.8248393743,10500.8306458359,0.0509836153010581,0.147689032635695
"EE",6,247,105349.581897984,6850.94206822227,0.0333085537245677,0.121302979182529
"EE",7,267,142884.267600602,8836.84389604213,0.0428314663454751,0.16388282525782
"EE",8,279,199447.736412117,6660.05033145712,0.0324393594679925,0.162003234163386
"EE",9,308,303255.203657995,12298.3022251199,0.0594993644426136,0.17520721671785
"EE",10,311,1052149.43953727,21844.8655287045,0.10582714122642,0.197757003766778
"ES",1,592,-548672.02488995,923112.076505222,0.646172697110229,0.882837034151985
"ES",2,442,-2006.81043511518,19473.2752645857,0.0136525955126843,0.193254165580343
"ES",3,482,10136.0650496883,19831.0324490761,0.0138533691340489,0.183584189776208
"ES",4,464,41109.2300898324,37273.5983234226,0.026027916786998,0.306119141422149
