"country","n","cv_nw","cv_nwx","cv_wt","p1","p2","cor_nwx_wt","cv_ratio","iso","status","flagged"
"AT",2832.8,2.37374299017505,-150.528499596731,7.53558390371052,-0.171134243717017,1.17113424371702,-0.956336745233422,-0.0384435083161929,"AT","undefined (p2 > 1)",FALSE
"BE",2047,1.79371225497678,2.44837487318763,4.33134673866281,0.765505648800785,0.234494351199215,-0.34853833903898,0.732614392578498,"BE","equalising",FALSE
"CY",1255.8,1.51200702222615,2.09504278014611,2.63884501282953,0.707449857534265,0.292550142465735,-0.222438144267453,0.721571491124364,"CY","equalising",FALSE
"DE",3973.6,2.07871528858129,3.9956876509174,7.9122942173862,0.686179108556547,0.313820891443453,-0.686963835198767,0.520690463971077,"DE","equalising",FALSE
"EE",2592,3.12425427703479,3.44221855736348,6.15527561193162,0.902036701199661,0.097963298800339,-0.0651523061530871,0.907627998935566,"EE","equalising",FALSE
"ES",6384,4.92024659712279,9.78828732378495,8.59784932981522,0.555551506427765,0.444448493572235,-0.480077260321041,0.502724778422653,"ES","equalising",FALSE
"FR",11912,2.75862526929077,9.56638582464482,10.8808354805267,0.553588312872193,0.446411687127807,-0.855818973440207,0.288366507462414,"FR","equalising",FALSE
"GR",3599,1.55922319082321,9.19070461111313,3.94549242305312,0.492459213566908,0.507540786433092,-0.681310473487131,0.382860548469739,"GR","equalising",TRUE
"HR",1445.2,1.35008219529306,1.68169471924997,2.67009254777899,0.796726615826621,0.203273384173379,-0.183636159311636,0.802811525420788,"HR","equalising",FALSE
"HU",6975,1.77851874731252,2.14970498805167,4.20994306389925,0.844488223146471,0.155511776853529,-0.2360791491295,0.827331547388035,"HU","equalising",FALSE
"LT",1692,3.61281867349581,4.55738818482512,4.60858612135779,0.784269162374533,0.215730837625467,-0.101311256722541,0.792624024418339,"LT","equalising",FALSE
"LU",3695,2.0274125694751,3.56537372369503,4.76681472620366,0.66736977973614,0.33263022026386,-0.536587193343836,0.569756382015981,"LU","equalising",FALSE
"LV",1216,2.76062731826376,2.99120013440908,5.66548286838977,0.921114441859085,0.078885558140915,-0.0688515112921876,0.922939730441301,"LV","equalising",FALSE
"MT",1023,1.10086925305979,1.51848762792332,2.6885995306081,0.763944841243774,0.236055158756226,-0.364405699287939,0.724977426760687,"MT","equalising",TRUE
"NL",2518,1.728902222473,1.95113446286278,8.45176759016114,0.912340212210877,0.087659787789123,-0.214074591909373,0.895469435382727,"NL","equalising",FALSE
"PT",5460,2.26894258151917,3.05256311731477,5.54130137872247,0.769291373905199,0.230708626094801,-0.321054252312631,0.744530752378067,"PT","equalising",FALSE
"SI",1983,1.94670192408606,9.16751008530113,2.67154837284041,0.279702938169403,0.720297061830597,-0.639088826305642,0.219298332881422,"SI","equalising",TRUE
"SK",2127,1.36463578165224,2.08328716267684,2.76138216857173,0.708182003838271,0.291817996161729,-0.405447225555453,0.65504454027606,"SK","equalising",FALSE
