country,iso2,year,metric,flow_type,value,source_notes
Austria,AT,2010,InheritanceVolumeEstimate,economic,8000000000,"2010: Altzinger & Humer 2013, Simulation des Aufkommens verschiedener… | 2020: Grünberger et al. 2024, Inheritances in Austria: A model estimation of intergenerational wealth transfers up to 2050 — 2025 estimate scaled down to 2020 by CPI"
Austria,AT,2020,InheritanceVolumeEstimate,economic,18000000000,"2010: Altzinger & Humer 2013, Simulation des Aufkommens verschiedener… | 2020: Grünberger et al. 2024, Inheritances in Austria: A model estimation of intergenerational wealth transfers up to 2050 — 2025 estimate scaled down to 2020 by CPI"
Austria,AT,2010,InheritanceVolumeasperStatistic,fiscal,5940000000,"fiscal as they are based on parliamentary inquiries | Ertl, Michael: From Inheritances to Wealth: A Mortality Multiplier Approach for Austria"
Austria,AT,2020,InheritanceVolumeasperStatistic,fiscal,6655000000,"fiscal as they are based on parliamentary inquiries | Ertl, Michael: From Inheritances to Wealth: A Mortality Multiplier Approach for Austria"
Belgium,BE,1990,Inheritance&GiftTaxRevenue,NA,464540071,
Belgium,BE,2000,Inheritance&GiftTaxRevenue,NA,1012768995,
Belgium,BE,2010,Inheritance&GiftTaxRevenue,NA,2228353090,
Belgium,BE,2020,Inheritance&GiftTaxRevenue,NA,3001966480,
Belgium,BE,1900,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,1910,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,1920,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,1930,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,1940,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,1950,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,1960,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,1970,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
Belgium,BE,1980,InheritanceVolume,fiscal,0,"50billion is a rough estimate based on Artur Apostel's work, calcluating from his charts.  Apostel 2026 - PRE-DEATH GIFTS AND REGRESSIVE WEALTH (e.g. via figure 11: hfcs coverage ratios,  assumed HFCS coverage 36%, sitting squarely inside Apostel's published 22–48% band visible in the charts; using our own calculation of total flow as covered by hfcs)"
