"country","n_scenarios","n_non_binding","any_non_binding","all_non_binding","min_rho_mech","median_margin"
"AT_2011",4,3,TRUE,FALSE,0.639291447409392,1.33891049577543
"EE_2013",4,0,FALSE,FALSE,0.277869625905374,0.65379680748223
"ES_2011",4,0,FALSE,FALSE,0.141991393301197,0.627572012346381
"FR_2009",4,0,FALSE,FALSE,-0.0461758678381653,0.285019588511905
"GR_2009",4,0,FALSE,FALSE,0.195412980920027,0.56277965484899
"IT_2014",4,0,FALSE,FALSE,-0.0931583311562747,0.0160779879568924
"LU_2010",4,0,FALSE,FALSE,0.38243065145152,0.693315310193172
"SI_2014",4,0,FALSE,FALSE,0.635956550994067,0.848491888953556
"SK_2010",4,0,FALSE,FALSE,0.020103447380724,0.350719338382528
"US_2013",4,0,FALSE,FALSE,0.423407885281984,0.67577298191581
