"p1","p2","cv1","cv2","rho_mech","rho_below","rho_above","pct_agree_below","pct_agree_above","full_agreement"
0.9,0.1,1,1,1,0.95,0.995,1,0,FALSE
0.8,0.2,1,1,1,0.95,0.995,1,0,FALSE
0.65,0.35,1,1,1,0.95,0.995,1,0,FALSE
0.5,0.5,1,1,1,0.95,0.995,1,0,FALSE
0.2,0.8,1,1,1,0.95,0.995,1,0,FALSE
0.9,0.1,1,3,0.185185185185185,0.135185185185185,0.235185185185185,1,1,TRUE
0.8,0.2,1,3,9.25185853854297e-17,-0.0499999999999999,0.0500000000000001,1,1,TRUE
0.65,0.35,1,3,-0.384615384615385,-0.434615384615385,-0.334615384615385,1,1,TRUE
0.5,0.5,1,3,-1,-0.995,-0.95,0,1,FALSE
0.9,0.1,3,3,1,0.95,0.995,1,0,FALSE
0.8,0.2,3,3,1,0.95,0.995,1,0,FALSE
0.65,0.35,3,3,1,0.95,0.995,1,0,FALSE
0.5,0.5,3,3,1,0.95,0.995,1,0,FALSE
0.2,0.8,3,3,1,0.95,0.995,1,0.04,FALSE
0.9,0.1,1,8,-0.3125,-0.3625,-0.2625,1,1,TRUE
0.8,0.2,1,8,-0.859375,-0.909375,-0.809375,1,1,TRUE
0.9,0.1,3,8,0.247685185185185,0.197685185185185,0.297685185185185,1,1,TRUE
0.8,0.2,3,8,0.0885416666666667,0.0385416666666667,0.138541666666667,1,1,TRUE
0.65,0.35,3,8,-0.241987179487179,-0.291987179487179,-0.191987179487179,1,1,TRUE
0.5,0.5,3,8,-0.770833333333333,-0.820833333333333,-0.720833333333333,1,1,TRUE
0.9,0.1,6,8,0.717592592592592,0.667592592592592,0.767592592592592,1,1,TRUE
0.8,0.2,6,8,0.677083333333333,0.627083333333333,0.727083333333333,1,1,TRUE
0.65,0.35,6,8,0.592948717948718,0.542948717948718,0.642948717948718,1,1,TRUE
0.5,0.5,6,8,0.458333333333333,0.408333333333333,0.508333333333333,1,1,TRUE
0.35,0.65,6,8,0.208333333333333,0.158333333333333,0.258333333333333,1,1,TRUE
0.2,0.8,6,8,-0.416666666666667,-0.466666666666667,-0.366666666666667,0.8,0.8,FALSE
0.9,0.1,1,15,-0.762962962962963,-0.812962962962963,-0.712962962962963,1,1,TRUE
0.9,0.1,3,15,-0.0666666666666667,-0.116666666666667,-0.0166666666666666,1,1,TRUE
0.8,0.2,3,15,-0.4,-0.45,-0.35,1,1,TRUE
0.9,0.1,6,15,0.283333333333333,0.233333333333333,0.333333333333333,1,1,TRUE
0.8,0.2,6,15,0.1375,0.0875,0.1875,1,1,TRUE
0.65,0.35,6,15,-0.165384615384615,-0.215384615384615,-0.115384615384615,1,1,TRUE
0.5,0.5,6,15,-0.65,-0.7,-0.6,1,1,TRUE
0.9,0.1,3,20,-0.212037037037037,-0.262037037037037,-0.162037037037037,1,1,TRUE
0.8,0.2,3,20,-0.664583333333333,-0.714583333333333,-0.614583333333333,1,1,TRUE
0.9,0.1,6,20,0.131481481481481,0.0814814814814815,0.181481481481481,1,1,TRUE
0.8,0.2,6,20,-0.0791666666666666,-0.129166666666667,-0.0291666666666666,1,1,TRUE
0.65,0.35,6,20,-0.516666666666667,-0.566666666666667,-0.466666666666667,1,1,TRUE
